Теги,Название окна,Пояснение,Текст Рус ,Текст Eng ,Рус символы
boosters.boss_protection.hints.level.available,Основной игровой интерфейс (Канвас Хинт),При наведении на область бустера который ранее приобретен,Заблокируйте действия Корпорации. Используйте Блок!,,51
client.interface.level.popups.buttons.sound_off,Основной игровой интерфейс (Канвас Хинт),"При наведении на кнопку ""Звуки""",Выключить звуки,,15
client.interface.level.popups.buttons.sound_on,Основной игровой интерфейс (Канвас Хинт),"При наведении на кнопку ""Звуки""",Включить звуки,,14
client.interface.level.popups.buttons.music_off,Основной игровой интерфейс (Канвас Хинт),"При наведении на кнопку ""Музыка""",Выключить музыку,,16
client.interface.level.popups.buttons.music_on,Основной игровой интерфейс (Канвас Хинт),"При наведении на кнопку ""Музыка""",Включить музыку,,15
client.interface.level.popups.buttons.fullscreen_on,Основной игровой интерфейс (Канвас Хинт),"При наведении на кнопку ""Полный экран""",Перейти к режиму полного экрана,,
client.interface.level.popups.buttons.fullscreen_off,Основной игровой интерфейс (Канвас Хинт),"При наведении на кнопку ""Полный экран""",Выйти из режима полного экрана,,
client.interface.level.popups.buttons.exit,Основной игровой интерфейс (Канвас Хинт),"При наведении на кнопку ""Выход""",Выход из игры (Вы потеряете одну жизнь),,39
level_types.moves_limit.desc,Основной игровой интерфейс (Канвас Хинт),"Описание игрового режима ""На ходы""","Совмещайте фишки в ряды, чтобы набрать максимальное количество очков за ограниченное количество ходов.",,102
level_types.time_limit.desc,Основной игровой интерфейс (Канвас Хинт),"Описание игрового режима ""На время""","Совмещайте фишки в ряды, чтобы набрать максимальное количество очков за ограниченное время.",,91
level_types.clearbacks.desc,Основной игровой интерфейс (Канвас Хинт),"Описание игрового режима ""Зайчики в жидком шоколаде""","Уберите весь жидкий шоколад и освободите всех зайчиков! Совмещайте фишки над шоколадом, чтобы убрать его.",,105
level_types.get_colors.desc,Основной игровой интерфейс (Канвас Хинт),"Описание игрового режима ""Сбор фишек""","Совмещайте фишки в ряды, чтобы набрать максимальное количество фишек определенных цветов.",,89
level_types.toys.desc,Основной игровой интерфейс (Канвас Хинт),"Описание игрового режима ""Освобождения игрушки""",Уберите все помехи и освободите все игрушки!,,44
level_types.get_ingredients.desc,Основной игровой интерфейс (Канвас Хинт),"Описание игрового режима ""Ингридиенты""","Доведите все ингредиенты до нижней клетки, на которой изображен мешочек. ",,73
level_types.boss_level.desc,Основной игровой интерфейс (Канвас Хинт),"Описание игрового режима ""Битва с боссом""","Совмещайте фишки в ряды, пока повар из Корпорации не засыпал помехами все игровое поле. Следите, чтобы у Вас не кончились ходы и время!",,135
client.interface.level_lose.title,Окно провала уровня,Номер уровня,Уровень %num,Level %num,12
client.interface.level_lose.score,Окно провала уровня,Количество очков набранных игроком ,Очки:,Score:,5
client.interface.level_lose.legend,Окно провала уровня,Надпись сообщающая о поражении игрока,Поражение!,Your failed!,10
client.interface.level_lose.buttons.retry,Окно провала уровня,Кнопка для переигрывания уровня при провале,Переиграть,Retry,10
client.interface.level_lose.lose_conditions,Окно провала уровня,В том окне где показываются зафейленные цели уровня,Вы не получили ни одной звезды,,30
client.interface.level_lose.buttons.sendlives,Окно провала уровня (Канвас),Кнопка для отправки жизней всем кто в топе,Послать всем,,
client.interface.level_lose.popups.top.send_life,Окно провала уровня (Канвас Хинт),При наведении на иконку сердечка с конвертом возле аватарки друга,Отправьте другу бесплатную жизнь!,,33
client.interface.level_lose.popups.top.already_send_life,Окно провала уровня (Канвас Хинт),При наведении на иконку сердечка с галочкой возле аватарки друга,Вы уже отправили этому другу бесплатную жизнь.,,46
client.interface.level_lose.popups.score,Окно провала уровня (Канвас Хинт),При наведении на кнопку с набраными очками в течении уровня,Ваши набранные очки.,,20
client.interface.level_lose.popups.lose_conditions,Окно провала уровня (Канвас Хинт),При наведение на окно где показываются зафейленные цели уровня,Сыграйте ещё раз и выполните цели уровня!,,41
client.interface.level_win.title,Окно после успешного прохождения уровня,Номер уровня,Уровень %num,Level %num,12
client.interface.level_win.reward,Окно после успешного прохождения уровня,Награда в серебряных монетах за прохождение уровня,Награда:,Reward:,8
client.interface.level_win.scores,Окно после успешного прохождения уровня,Количество очков набранных игроком ,Очки:,Score:,5
client.interface.level_win.legend_1,Окно после успешного прохождения уровня,Надпись сообщающая о выигрыше игрока и получении одной звезды за прохождение,Хорошо,Great,6
client.interface.level_win.legend_2,Окно после успешного прохождения уровня,Надпись сообщающая о выигрыше игрока и получении двух звезд за прохождение,Отлично,Exellent,7
client.interface.level_win.legend_3,Окно после успешного прохождения уровня,Надпись сообщающая о выигрыше игрока и получении трёх звезд за прохождение,Великолепно!,Amazing!,12
client.interface.level_win.buttons.next,Окно после успешного прохождения уровня,Кнопка для перехода к следующему уровню,Далее,Next,5
client.interface.level_win.share,Окно после успешного прохождения уровня,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.level_win.no_share,Окно после успешного прохождения уровня,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,"No Share, No Bonus",35
client.interface.level_win.buttons.sendlives,Окно после успешного прохождения уровня (Канвас),Кнопка для отправки жизней всем кто в топе,Послать всем,,
client.interface.level_win.popups.top.send_life,Окно после успешного прохождения уровня (Канвас Хинт),При наведении на иконку сердечка с конвертом возле аватарки друга,Отправьте %name бесплатную жизнь!,,33
client.interface.level_win.popups.top.already_send_life,Окно после успешного прохождения уровня (Канвас Хинт),При наведении на иконку сердечка с галочкой возле аватарки друга,Вы уже отправили %name бесплатную жизнь.,,40
client.interface.mapscreen.buttons.cafe,Мапскрин,Кнопка для перехода к игровому режиму кафе,Кафе,Cafe,4
client.interface.mapscreen.buttons.event,Мапскрин,Иконка для перехода к ивенту,Событие,Event,7
client.interface.mapscreen.buttons.secret,Мапскрин,Иконка для получении информации по секретному уровню,Секрет,Secret,6
client.interface.mapscreen.buttons.jukebox,Мапскрин,Иконка для игры в музыкальном аппарате,Jukebox,,
client.interface.mapscreen.life_score.full,Мапскрин,Появляется на индикаторе количества жизней когда они все есть,Максимум,full,8
client.interface.mapscreen.buttons.play_mobile,Мапскрин Канвас,Кнопка в правом нижнем углу вьюпорта,Играть на мобильном,Play on mobile,19
client.interface.mapscreen.popups.posting_prize,Мапскрин,"Всплывает при нажатии на кнопку накапливаемых постов, пока шкала постов не заполнена",Количество Ваших постов: %num_1 из %num_2. Чаще рассказывайте друзьям о своих достижениях - и Вы получите приз!,,111
client.interface.mapscreen.popups.silver_coins,Мапскрин,"При наведении на поле с количеством серебряных монет или тап на иконку ""i""",Покупайте серебро для улучшения Вашего кафе! ,,45
client.interface.mapscreen.popups.posting_prize_ready,Мапскрин (Канвас Хинт),"Всплывает при наведении на кнопку накапливаемых постов, когда приз готов к сбору",Вы набрали нужное количество постов и получаете приз!,,53
client.interface.mapscreen.popups.buttons.sound_off,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Звуки""",Выключить звуки,,15
client.interface.mapscreen.popups.buttons.sound_on,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Звуки""",Включить звуки,,14
client.interface.mapscreen.popups.buttons.music_off,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Музыка""",Выключить музыку,,16
client.interface.mapscreen.popups.buttons.music_on,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Музыка""",Включить музыку,,15
client.interface.mapscreen.popups.buttons.exit,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Выход""",Выход из игры,,13
client.interface.mapscreen.popups.buttons.fullscreen_on,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Полный экран""",Перейти к режиму полного экрана,,
client.interface.mapscreen.popups.buttons.fullscreen_off,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Полный экран""",Выйти из режима полного экрана,,
client.interface.mapscreen.popups.buttons.play_mobile,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Играть на мобильном""",Нажмите для начала игры на мобильном устройстве,,47
client.interface.mapscreen.popups.buttons.cafe,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Кафе""","Нажмите для перехода в ""Кафе""",,29
client.interface.mapscreen.popups.buttons.event,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Ивент""",Большое приключение! Не пропустите!,,35
client.interface.mapscreen.popups.buttons.secret,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Секретный уровень""",Нажмите для перехода к Секретному уровню,,40
client.interface.mapscreen.popups.buttons.like_us,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Like Us""","Нажмите «Нравится!», чтобы поддержать нас!",,42
client.interface.mapscreen.popups.buttons.achievements,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Achievements""",Полюбуйтесь своими достижениями,,31
client.interface.mapscreen.popups.buttons.prize,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Free pizes""",Отправьте другу подарок,,23
client.interface.mapscreen.popups.buttons.inbox,Мапскрин (Канвас Хинт),"При наведении на кнопку ""Inbox""",Принимайте сообщения от своих друзей,,36
client.interface.mapscreen.popups.life.complete,Мапскрин (Канвас Хинт),При наведении на счётчик жизней когда жизней полное количество,Это максимальное количество жизней,,34
client.interface.mapscreen.popups.life.plus,Мапскрин (Канвас Хинт),При наведении на плюсик рядом со счётчиком жизней когда жизней не полное количество,"У Вас больше нет жизней. Нажмите “плюс”, чтобы получить больше.",,63
client.interface.mapscreen.popups.life.incomplete,Мапскрин (Канвас Хинт),При наведении на счётчик жизней когда жизней не полное количество,"Подождите, чтобы получить больше жизней. Или получите их прямо сейчас!",,70
client.interface.mapscreen.popups.gold_donuts.text,Мапскрин (Канвас Хинт),При наведении на поле с количеством золотых пончиков,Покупайте Золотые Пончики для путешествия по миру пирожных и тортов!,,68
client.interface.mapscreen.popups.gold_donuts.plus,Мапскрин (Канвас Хинт),При наведении на поле с изображением плюса рядом с полем отображающих количество золотых пончиков,"Нажмите “плюс”, чтобы получить больше Золотых пончиков.",,55
client.interface.mapscreen.up_hub.buttons.play,Мапскрин Канвас (Верхний хаб с кнопками),Первая слева кнопка в верхнем хабе над вьюпортом,Играть,Play,6
client.interface.mapscreen.up_hub.buttons.free_gifts,Мапскрин Канвас (Верхний хаб с кнопками),Первая слева кнопка в верхнем хабе над вьюпортом,Подарки,Free gifts,7
client.interface.mapscreen.up_hub.buttons.invite,Мапскрин Канвас (Верхний хаб с кнопками),Первая слева кнопка в верхнем хабе над вьюпортом,Пригласи друзей,Invite & get bonus,15
client.interface.mapscreen.up_hub.buttons.community,Мапскрин Канвас (Верхний хаб с кнопками),Первая слева кнопка в верхнем хабе над вьюпортом,Сообщество,Community,10
client.interface.mapscreen.up_hub.buttons.how_to_play,Мапскрин Канвас (Верхний хаб с кнопками),Первая слева кнопка в верхнем хабе над вьюпортом,Как играть?,How to play?,11
client.interface.mapscreen.up_hub.buttons.earn_donuts,Мапскрин Канвас (Верхний хаб с кнопками),Первая слева кнопка в верхнем хабе над вьюпортом,Получить Золотые Пончики,Earn donuts,24
client.interface.mapscreen.up_hub.buttons.buy_donuts,Мапскрин Канвас (Верхний хаб с кнопками),Первая слева кнопка в верхнем хабе над вьюпортом,Купить Золотые Пончики,Add Gold donuts,22
client.interface.mapscreen.up_hub.buttons.language_1_ru,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 1),Русский,,7
client.interface.mapscreen.up_hub.buttons.language_2_en,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 2),Английский,,10
client.interface.mapscreen.up_hub.buttons.language_3_fr,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 3),Французский,,11
client.interface.mapscreen.up_hub.buttons.language_4_de,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 4),Немецкий,,8
client.interface.mapscreen.up_hub.buttons.language_5_sp,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 5),Испанский,,9
client.interface.mapscreen.up_hub.buttons.language_6_it,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 6),Итальянский,,11
client.interface.mapscreen.up_hub.buttons.language_7_pt,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 7),Португальский,,13
client.interface.mapscreen.up_hub.buttons.language_8_zh_1,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 8),Китайский 1,,11
client.interface.mapscreen.up_hub.buttons.language_9_zh_2,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 9),Китайский 2,,11
client.interface.mapscreen.up_hub.buttons.language_10_ja,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 10),Японский,,8
client.interface.mapscreen.up_hub.buttons.language_11_tr,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 11),Турецкий,,8
client.interface.mapscreen.up_hub.buttons.language_12_ko,Мапскрин Канвас (Верхний хаб с кнопками),Языки в выплывающем меню в верхнем хабе над вьюпортом (Язык 12),Корейский,,9
client.interface.mapscreen.friend_position.title,Мапскрин Канвас (Окно позиции друзей),Заголовок окна отображющего позицию друзей на мапскрине,Прогресс Ваших друзей,Friends position,21
client.interface.mapscreen.friend_position.leader_title,Мапскрин Канвас (Окно позиции друзей),Заголовок над аватаркой лидера в окне отображющего позицию друзей на мапскрине,Лидер,Leader,5
client.interface.mapscreen.friend_events.event.first_place,Мапскрин Канвас (Окно событий у друзей),События происходящие с вашими друзьями,Игрок %name занимает первое место на %num уровне,,48
client.interface.mapscreen.friend_events.event.overtake_level,Мапскрин Канвас (Окно событий у друзей),События происходящие с вашими друзьями,Игрок %name_1 обгоняет игрока %name_2 на %num уровне,,52
client.interface.mapscreen.friend_events.event.overtake_score,Мапскрин Канвас (Окно событий у друзей),События происходящие с вашими друзьями,Игрок %name_1 обгоняет по очкам игрока %name_2 на %num уровне,,61
client.interface.mapscreen.friend_events.event.secret_level,Мапскрин Канвас (Окно событий у друзей),События происходящие с вашими друзьями,Игрок %name открыл Секретный уровень!,,37
client.interface.mapscreen.friend_events.event.bonus_level,Мапскрин Канвас (Окно событий у друзей),События происходящие с вашими друзьями,Игрок %name открыл Бонусный уровень!,,36
client.interface.mapscreen.friend_events.event.end_level,Мапскрин Канвас (Окно событий у друзей),События происходящие с вашими друзьями,Игрок %name прошёл %num уровень!,,32
client.interface.mapscreen.friend_events.event.end_location,Мапскрин Канвас (Окно событий у друзей),События происходящие с вашими друзьями,Игрок %name завершил локацию!,,29
client.interface.mapscreen.friend_events.event.start_game,Мапскрин Канвас (Окно событий у друзей),События происходящие с вашими друзьями,Игрок %name начал игру!,,23
client.interface.mapscreen.friend_events.buttons.congratulation,Мапскрин Канвас (Окно событий у друзей),Кнопка постинга,Отправить поздравление!,Sent congratulation!,23
client.interface.mapscreen.invite_friends.title,Мапскрин Канвас (Окно приглашения друзей),Заголовок окна,Пригласите друзей,,17
client.interface.mapscreen.popups.invite_friends.friend_avatar,Мапскрин Канвас (Окно приглашения друзей хинт),Хинт при наведении на аватарку друга,%name,,5
client.interface.mapscreen.invite_friends.buttons.invite,Мапскрин Канвас (Окно приглашения друзей),Надпись на кнопке приглашения друзей,Пригласить,,10
client.interface.mapscreen.invite_friends.condition,Мапскрин Канвас (Окно приглашения друзей),Надпись под кнопкой объясняющая условия,Получайте за каждого приглашенного Вами играющего друга %num ,,61
client.interface.mapscreen.help_friends.title,Мапскрин Канвас (Окно отпраки жизни друзьям),Заголовок окна,Помогите друзьям,,16
client.interface.mapscreen.help_friends.ask_1,Мапскрин Канвас (Окно отпраки жизни друзьям),Текст напротив аватарки друга,Помогите мне! Пришлите жизней!,,30
client.interface.mapscreen.popups.help_friends.friend_avatar,Мапскрин Канвас (Окно отпраки жизни друзьям хинт),Хинт при наведении на аватарку друга,%name,,5
client.interface.mapscreen.help_friends.buttons.send_life,Мапскрин Канвас (Окно отпраки жизни друзьям),Надпись на кнопке когда есть возможность отправки ,Отправьте сейчас %num,,21
client.interface.mapscreen.help_friends.buttons.already_send_life,Мапскрин Канвас (Окно отпраки жизни друзьям),Надпись на кнопке когда нет возможности отправки ,через %num,,10
client.interface.mapscreen.special_offer_invite.title,Мапскрин Канвас (Окно бонусного приглашения друзей),Заголовок окна,Особая Акция,,12
